Am Kuhberg 1,Nußbaum,"Simultankirche; ehemaliger Chorturm, im Kern wohl spätromanisch; spätbarocker Saalbau, bezeichnet 1753 und 1753/1931; auf dem Friedhof barockes Grabkreuz"
Enggasse 1,Nußbaum,"Hofanlage, spätbarockes Gehöft, 18. Jahrhundert; Krüppelwalmdachbau, Fachwerk verputzt, bezeichnet 1766"
Im Winkel 12,Nußbaum,"sogenanntes Schloss; spätbarocke Hofanlage, bezeichnet 1792; eingeschossiger Mansarddachbau (bezeichnet 1791), Wirtschaftsgebäude mit Walm- und Krüppelwalmdach"
"





Am Kuhberg 1",Nußbaum,"Simultankirche


"
"





Enggasse 1",Nußbaum,"spätbarockes Gehöft


"
"





Im Winkel 12",Nußbaum,"sogenanntes Schloss


"
