"Denkmalzone Römerberg 3–19 (ungerade Nummern), 6 und 8, Obertalstraße 1–19 (ungerade Nummern) und 2, Untertalstraße 37",Katzenelnbogen,"charakteristische Bauten, überwiegend des 17. und 18. Jahrhunderts, für die besser erhaltene nördliche Hälfte des ehemaligen Burgfleckens","",""
Aarstraße 17,Katzenelnbogen,"eingeschossige, zweiflügelige Villa, Reformarchitektur, um 1910",50.2683,7.980947
Aarstraße 20,Katzenelnbogen,"ehemaliges Amtsgericht; spätklassizistischer Bau mit turmartigen Eckbauten, 1880",50.267557,7.980094
Bahnhofstraße 25,Katzenelnbogen,"Forstamt; eingeschossiger Putzbau, teilweise mit Zierfachwerk, bezeichnet 1903/04, eingeschossiges Nebengebäude",50.265559,7.979717
Burgstraße,Katzenelnbogen,"Burg Katzenelnbogen; wohl spätgotischer Torturm und geringe mittelalterliche Mauerreste; barockes Rundbogenportal; dreigeschossiger Wohnbau, teilweise Fachwerk, im Kern von 1584, 1779 überformt",50.26891,7.97757
Einrichstraße,Katzenelnbogen,"Kriegerdenkmal; Kriegerdenkmal für die Opfer des Ersten Weltkriegs, die Bronzetafeln nach dem Zweiten Weltkrieg angebracht",50.26667,7.976537
Einrichstraße 6,Katzenelnbogen,"Wohnhaus, im Kern wohl aus dem 18. Jahrhundert, in der ersten Hälfte des 19. Jahrhunderts verändert",50.266739,7.976474
Lahnstraße 14,Katzenelnbogen,ehemalige Bertramsche Villa; teilweise mit Zierfachwerk,50.913678,8.099777
Obertalstraße 2,Katzenelnbogen,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.268829,7.974542
Obertalstraße 11,Katzenelnbogen,"Fachwerkhaus, teilweise massiv, bezeichnet 1685",50.269227,7.974551
Obertalstraße 13,Katzenelnbogen,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert",50.26944,7.974677
Obertalstraße 15,Katzenelnbogen,"Wohnhaus, verputzt, Torfahrt,",50.269566,7.974704
Obertalstraße 19,Katzenelnbogen,"Wohnhaus, teilweise mit Zierfachwerk, 17. oder 18. Jahrhundert",50.26967,7.974677
Obertalstraße 23,Katzenelnbogen,"Katholische Pfarrkirche St. Petrus; Saalbau, 1875, bauzeitliche Ausmalung",50.270309,7.975459
Römerberg 3,Katzenelnbogen,"kleines Fachwerkhaus, 18. Jahrhundert",50.268179,7.974875
Römerberg 6,Katzenelnbogen,"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert",50.268288,7.97501
Römerberg 12,Katzenelnbogen,"ehemalige Schule; langgestreckter Putzbau, um 1920/30",50.268536,7.975297
Römerberg 15,Katzenelnbogen,"Fachwerkhaus, 18. Jahrhundert; wichtige straßenräumliche Funktion",50.268685,7.974551
Römerberg 19,Katzenelnbogen,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.268564,7.974803
Stiftstraße 5,Katzenelnbogen,"Fachwerkhaus, verputzt und verschiefert, wohl um 1800",50.266877,7.975611
Stiftstraße 14,Katzenelnbogen,"ehemaliges Elisabethstift; Klinkerbau, Ende des 19. Jahrhunderts",50.269198,7.971039
Untertalstraße 8,Katzenelnbogen,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",50.26773,7.976249
Untertalstraße 19,Katzenelnbogen,"Fachwerkhaus, teilweise verputzt, bezeichnet 1604",50.267845,7.975072
