Denkmalzone Katholische Pfarrkirche St. Aper (Hauptstraße 59),Wasserliesch,"neubarocke Stufenhalle, 1910/11, Architekt Peter Marx; Denkmalzone mit Kirchenvorplatz, Pfarrhaus von 1884 (Hauptstraße 64) und Kriegerdenkmal von 1921","",""
Denkmalzone Altes Lager,Wasserliesch,"Gebäudemauerreste eines Römerlagers, Ende des 3. Jahrhunderts, rechteckige von Mauern begrenzte Grundfläche",49.704179,6.545242
(neben) Hauptstraße 2,Wasserliesch,"Wegekreuz; Altarkreuz, bezeichnet 1800",49.708944,6.537004
(vor) Hauptstraße 20,Wasserliesch,"Kreuzigungsbildstock, bezeichnet 1776",49.708944,6.537004
(vor) Hauptstraße 34,Wasserliesch,"Altarkreuz, bezeichnet 1823",49.708944,6.537004
Hauptstraße 34,Wasserliesch,"ehemalige Schule; Walmdachbau, 1926",49.708944,6.537004
In der Zehnt,Wasserliesch,"Schaftkreuz, bezeichnet 1856",49.70172,6.547236
Kordelstraße 17,Wasserliesch,"klassizistische Winkelhofanlage, bezeichnet 1807",49.708944,6.537004
"Mühlenstraße 19, Mühlenstraße ohne Nummer",Wasserliesch,"ehemalige Mühle und Wohnhaus, erste Hälfte des 18. Jahrhunderts",49.708944,6.537004
Neudorfstraße 11,Wasserliesch,"Wohngebäude mit rückwärtiger Ökonomie, Rokoko, bezeichnet 1787; vollständige Takenanlage",49.708944,6.537004
(bei) Neudorfstraße 29,Wasserliesch,"Kreuzigungsbildstock, drittes Viertel des 18. Jahrhunderts",49.708944,6.537004
Reiniger Straße,Wasserliesch,"zweiteiliger Kreuzigungsbildstock, bezeichnet 1661 und 1734",49.704179,6.545242
Reiniger Straße,Wasserliesch,"Reinigerkapelle; barockes Oratorium, frühes 18. Jahrhundert",49.704179,6.545242
am Aussichtspunkt des Liescher Berges,Wasserliesch,"Löschemer Kapelle der schmerzhaften Muttergottes; Putzbau 1709, Erneuerung 1846",49.704179,6.545242
am Felsengrat der Grana-Höhe,Wasserliesch,"Grana-Denkmal; Sandstein-Obelisk, gusseiserne Einfriedung, 1892",49.704179,6.545242
vom Fuß des Löschemer Bergs durch den Wald führend,Wasserliesch,"Stationenweg; 13 Schaftbildstöcke, bezeichnet 1812 und 1820","",""
"





(neben) Hauptstraße 2",Wasserliesch,"Wegekreuz


",49.708944,6.537004
"





Kordelstraße 17",Wasserliesch,"klassizistische Winkelhofanlage


",49.708944,6.537004
"





Neudorfstraße 11",Wasserliesch,"Wohngebäude


",49.708944,6.537004
"





Reiniger Straße",Wasserliesch,"Kreuzigungsbildstock


",49.704179,6.545242
"





Reiniger Straße",Wasserliesch,"Reinigerkapelle


",49.704179,6.545242
"





am Aussichtspunkt des Liescher Berges",Wasserliesch,"Löschemer Kapelle


",49.704179,6.545242
"





am Felsengrat der Grana-Höhe",Wasserliesch,"Grana-Denkmal


",49.704179,6.545242
